datetime,created_at,updated_at,timestamp,zone_name,carbon_intensity_avg,carbon_intensity_direct_avg,carbon_intensity_production_avg,carbon_intensity_discharge_avg,carbon_intensity_import_avg,total_production_avg,total_storage_avg,total_discharge_avg,total_import_avg,total_export_avg,total_consumption_avg,production_sources,power_origin_percent_fossil_avg,power_origin_percent_renewable_avg,power_production_percent_fossil_avg,power_production_percent_renewable_avg,power_production_nuclear_avg,power_production_geothermal_avg,power_production_biomass_avg,power_production_coal_avg,power_production_wind_avg,power_production_solar_avg,power_production_hydro_avg,power_production_gas_avg,power_production_oil_avg,power_production_unknown_avg,power_consumption_nuclear_avg,power_consumption_geothermal_avg,power_consumption_biomass_avg,power_consumption_coal_avg,power_consumption_wind_avg,power_consumption_solar_avg,power_consumption_hydro_avg,power_consumption_gas_avg,power_consumption_oil_avg,power_consumption_unknown_avg,power_consumption_battery_discharge_avg,power_consumption_hydro_discharge_avg,power_net_discharge_battery_avg,power_net_discharge_hydro_avg,power_net_import_US-CAR-CPLE_avg,carbon_intensity_exchange_US-CAR-CPLE_avg,power_net_import_US-CAR-CPLW_avg,carbon_intensity_exchange_US-CAR-CPLW_avg,power_net_import_US-CAR-DUK_avg,carbon_intensity_exchange_US-CAR-DUK_avg,power_net_import_US-MIDW-LGEE_avg,carbon_intensity_exchange_US-MIDW-LGEE_avg,power_net_import_US-MIDW-MISO_avg,carbon_intensity_exchange_US-MIDW-MISO_avg,power_net_import_US-NY-NYIS_avg,carbon_intensity_exchange_US-NY-NYIS_avg,power_net_import_US-TEN-TVA_avg,carbon_intensity_exchange_US-TEN-TVA_avg,latest_forecasted_wind_x_avg,latest_forecasted_wind_y_avg,latest_forecasted_solar_avg,latest_forecasted_temperature_avg,latest_forecasted_dewpoint_avg,latest_forecasted_precipitation_avg,latest_forecasted_price_avg,latest_forecasted_production_avg,latest_forecasted_consumption_avg,latest_forecasted_power_net_import_US-CAR-CPLE_avg,latest_forecasted_power_net_import_US-CAR-CPLW_avg,latest_forecasted_power_net_import_US-CAR-DUK_avg,latest_forecasted_power_net_import_US-MIDW-LGEE_avg,latest_forecasted_power_net_import_US-MIDW-MISO_avg,latest_forecasted_power_net_import_US-NY-NYIS_avg,latest_forecasted_power_net_import_US-TEN-TVA_avg,latest_forecasted_production_solar_avg,latest_forecasted_production_wind_avg
2020-01-01T00:00:00+00:00,2022-02-04T16:49:58.284222+00:00,2023-01-12T00:15:13.178380+00:00,1577836800.0,US-MIDA-PJM,382.14,314.86,384.27,,227.19,97278.0,,,1342.0,7208.0,91412.0,eia.gov,56.39,9.53,56.7,9.41,32962.0,,,15082.0,5461.0,0.0,3697.0,39095.0,206.0,775.0,31156.37,0.0,0.0,14082.37,5062.49,0.08,3645.77,36550.25,190.94,723.72,0.0,0.0,,,-842.0,382.14,29.0,431.48,500.0,233.88,-213.0,382.14,-4969.0,382.14,-1184.0,382.14,813.0,215.78,5.13,0.63,130.82,275.47,271.73,0.35,,,98519.0,,,,,,,,,
2020-01-01T01:00:00+00:00,2022-02-04T16:49:58.284222+00:00,2023-01-12T00:15:13.178380+00:00,1577840400.0,US-MIDA-PJM,377.11,310.43,379.62,,219.98,94547.0,,,1513.0,6969.0,89091.0,eia.gov,55.79,9.13,56.15,8.99,32960.0,,,14334.0,5812.0,0.0,2691.0,37755.0,208.0,787.0,31257.23,0.0,0.0,13397.57,5392.29,0.03,2741.08,35374.67,192.91,735.21,0.0,0.0,,,-763.0,377.11,26.0,440.44,472.0,245.86,-125.0,377.11,-4951.0,377.11,-1130.0,377.11,1015.0,202.29,5.2,0.51,,275.16,271.59,,,,95499.0,,,,,,,,,
2020-01-01T02:00:00+00:00,2022-02-04T16:49:58.101622+00:00,2023-01-12T00:23:43.689021+00:00,1577844000.0,US-MIDA-PJM,375.74,309.21,378.52,,211.23,91873.0,,,1553.0,6655.0,86771.0,eia.gov,55.68,8.31,56.08,8.14,32874.0,,,13802.0,5727.0,0.0,1753.0,36719.0,212.0,786.0,31248.33,0.0,0.0,12913.06,5321.98,0.0,1885.99,34468.88,196.9,735.86,0.0,0.0,,,-801.0,375.74,23.0,442.93,423.0,236.0,-279.0,375.74,-4623.0,375.74,-952.0,375.74,1107.0,196.95,5.26,0.33,,274.87,271.38,,,,90789.0,,,,,,,,,
2020-01-01T03:00:00+00:00,2022-02-04T16:49:58.284222+00:00,2023-01-12T00:23:16.918659+00:00,1577847600.0,US-MIDA-PJM,373.2,307.19,375.42,,215.33,88865.0,,,1250.0,6270.0,83845.0,eia.gov,55.26,7.56,55.57,7.45,32862.0,,,13256.0,5654.0,0.0,964.0,35117.0,211.0,801.0,31172.23,0.0,0.0,12408.39,5264.81,0.0,1073.09,32979.2,196.32,750.95,0.0,0.0,,,-723.0,373.2,21.0,445.64,372.0,221.62,-457.0,373.2,-4187.0,373.2,-903.0,373.2,857.0,206.95,5.05,0.38,0.0,275.04,271.72,0.1,,,85936.0,,,,,,,,,
2020-01-01T04:00:00+00:00,2022-02-04T16:49:58.284222+00:00,2023-01-12T00:15:13.178380+00:00,1577851200.0,US-MIDA-PJM,360.48,295.6,362.43,,216.85,86077.0,,,1172.0,5917.0,81332.0,eia.gov,53.81,7.54,54.09,7.45,33103.0,,,11938.0,5479.0,0.0,933.0,33628.0,214.0,782.0,31432.64,0.0,0.0,11199.49,5115.11,0.0,1015.45,31635.04,199.49,734.78,0.0,0.0,,,-538.0,360.48,21.0,451.82,396.0,209.92,-265.0,360.48,-4556.0,360.48,-558.0,360.48,755.0,213.95,5.02,0.16,,274.71,271.49,,,,82227.0,,,,,,,,,
2020-01-01T05:00:00+00:00,2022-02-04T16:49:58.778849+00:00,2023-01-12T00:23:22.177313+00:00,1577854800.0,US-MIDA-PJM,356.75,294.67,358.29,,220.74,84281.0,,,954.0,5679.0,79556.0,eia.gov,51.76,9.06,51.96,9.02,32886.0,,,12793.0,6905.0,0.0,696.0,30151.0,212.0,638.0,31168.97,0.0,0.0,11997.48,6452.78,0.0,754.09,28385.22,197.88,599.57,0.0,0.0,,,-559.0,356.75,12.0,481.43,273.0,206.37,-240.0,356.75,-4351.0,356.75,-529.0,356.75,669.0,221.93,5.04,0.02,,274.49,271.24,,,,79789.0,,,,,,,,,
2020-01-01T06:00:00+00:00,2022-02-04T16:49:58.101622+00:00,2023-02-10T02:39:04.634021+00:00,1577858400.0,US-MIDA-PJM,370.16,306.14,371.43,,222.54,83229.0,,,718.0,7030.0,76917.0,eia.gov,53.76,6.38,53.92,6.33,33083.0,,,13080.0,4762.0,0.0,503.0,30802.0,213.0,786.0,30653.85,0.0,0.07,12022.32,4372.29,0.0,537.71,28412.17,195.17,723.43,0.0,0.0,,,-551.0,370.16,4.0,498.49,181.0,205.26,-219.0,370.16,-6260.0,370.16,70.0,200.52,463.0,230.24,4.97,-0.07,0.0,274.26,271.02,0.16,,,78767.0,,,,,,,,,
2020-01-01T07:00:00+00:00,2022-02-04T16:49:58.284222+00:00,2023-02-10T02:47:49.308902+00:00,1577862000.0,US-MIDA-PJM,368.38,304.42,369.53,,221.38,81521.0,,,641.0,7304.0,74858.0,eia.gov,53.6,5.73,53.75,5.68,33070.0,,,12638.0,4141.0,0.0,492.0,30171.0,219.0,790.0,30441.13,0.0,0.03,11548.9,3779.49,0.0,511.55,27654.75,199.54,722.6,0.0,0.0,,,-579.0,368.38,5.0,497.7,190.0,204.42,-186.0,368.38,-6539.0,368.38,40.0,199.21,406.0,228.09,4.9,-0.1,,274.0,270.78,,,,78613.0,,,,,,,,,
2020-01-01T08:00:00+00:00,2022-02-04T16:49:58.284222+00:00,2023-01-12T00:23:20.739679+00:00,1577865600.0,US-MIDA-PJM,364.62,301.07,365.87,,221.04,81103.0,,,710.0,7088.0,74725.0,eia.gov,53.12,6.16,53.28,6.1,32942.0,,,12382.0,4369.0,0.0,581.0,29844.0,221.0,764.0,30428.36,0.0,0.0,11348.39,3996.77,0.0,609.37,27440.44,201.86,699.8,0.0,0.0,,,-660.0,364.62,3.0,497.45,135.0,205.2,-118.0,364.62,-6253.0,364.62,-57.0,364.62,572.0,223.33,4.74,-0.07,,273.75,270.63,,,,79318.0,,,,,,,,,
2020-01-01T09:00:00+00:00,2022-02-04T16:49:58.284222+00:00,2023-01-12T00:23:16.918659+00:00,1577869200.0,US-MIDA-PJM,370.14,306.44,371.43,,214.15,82122.0,,,677.0,5629.0,77170.0,eia.gov,53.47,6.33,53.63,6.25,32945.0,,,13113.0,4111.0,0.0,1020.0,29946.0,221.0,766.0,31021.81,0.0,0.0,12257.93,3837.43,0.0,1050.21,28081.05,205.98,715.6,0.0,0.0,,,-732.0,370.14,2.0,494.77,74.0,211.31,-141.0,370.14,-4732.0,370.14,-24.0,370.14,601.0,213.56,4.32,0.01,0.0,273.62,270.55,0.04,,,81226.0,,,,,,,,,
