datetime,created_at,updated_at,timestamp,zone_name,carbon_intensity_avg,carbon_intensity_direct_avg,carbon_intensity_production_avg,carbon_intensity_discharge_avg,carbon_intensity_import_avg,total_production_avg,total_storage_avg,total_discharge_avg,total_import_avg,total_export_avg,total_consumption_avg,production_sources,power_origin_percent_fossil_avg,power_origin_percent_renewable_avg,power_production_percent_fossil_avg,power_production_percent_renewable_avg,power_production_nuclear_avg,power_production_geothermal_avg,power_production_biomass_avg,power_production_coal_avg,power_production_wind_avg,power_production_solar_avg,power_production_hydro_avg,power_production_gas_avg,power_production_oil_avg,power_production_unknown_avg,power_consumption_nuclear_avg,power_consumption_geothermal_avg,power_consumption_biomass_avg,power_consumption_coal_avg,power_consumption_wind_avg,power_consumption_solar_avg,power_consumption_hydro_avg,power_consumption_gas_avg,power_consumption_oil_avg,power_consumption_unknown_avg,power_consumption_battery_discharge_avg,power_consumption_hydro_discharge_avg,power_net_discharge_battery_avg,power_net_discharge_hydro_avg,power_net_import_CA-NB_avg,carbon_intensity_exchange_CA-NB_avg,power_net_import_CA-ON_avg,carbon_intensity_exchange_CA-ON_avg,power_net_import_US-NE-ISNE_avg,carbon_intensity_exchange_US-NE-ISNE_avg,power_net_import_US-NY-NYIS_avg,carbon_intensity_exchange_US-NY-NYIS_avg,latest_forecasted_wind_x_avg,latest_forecasted_wind_y_avg,latest_forecasted_solar_avg,latest_forecasted_temperature_avg,latest_forecasted_dewpoint_avg,latest_forecasted_precipitation_avg,latest_forecasted_price_avg,latest_forecasted_production_avg,latest_forecasted_consumption_avg,latest_forecasted_power_net_import_CA-NB_avg,latest_forecasted_power_net_import_CA-ON_avg,latest_forecasted_power_net_import_US_avg,latest_forecasted_power_net_import_US-NE-ISNE_avg,latest_forecasted_power_net_import_US-NY-NYIS_avg,latest_forecasted_production_solar_avg,latest_forecasted_production_wind_avg,marginal_carbon_avg,marginal_forecast_avg
2022-01-01 00:00:00+00:00,2022-02-04T16:49:58.778849+00:00,2023-01-09T21:10:30.813823+00:00,1640995200.0,CA-QC,27.44,0.0,27.44,,,31247.5,,,0.0,4119.72,27127.78,hydroquebec.com,0.0,100.0,0.0,100.0,0.0,0.0,556.0,0.0,546.0,0.0,30145.5,,0.0,0.0,0.0,0.0,482.67,0.0,473.85,0.0,26171.26,0.0,0.0,0.0,0.0,0.0,,,-992.0,27.44,-377.04,27.44,-1666.84,27.44,-1083.83,27.44,0.34,1.98,20.3,263.02,260.84,0.4,,,,,,,,,,,1000.5083333333332,997.1869502314815
2022-01-01 01:00:00+00:00,2022-02-04T16:49:58.284222+00:00,2023-01-09T20:56:51.251995+00:00,1640998800.0,CA-QC,27.7,0.22,27.53,,50.59,29761.0,,,214.03,3660.09,26314.94,hydroquebec.com,0.06,99.5,0.0,100.0,0.0,0.0,552.5,0.0,662.5,0.0,28546.0,,0.0,0.0,116.62,0.0,485.36,0.01,588.51,0.0,25108.91,15.52,0.0,0.0,0.0,0.0,,,-992.0,27.7,214.03,50.59,-1698.34,27.7,-969.75,27.7,0.4,1.95,0.0,263.0,260.83,0.06,,,,,,,,,,,991.8583333333335,996.8637152777778
2022-01-01 02:00:00+00:00,2022-02-04T16:49:58.284222+00:00,2023-01-09T20:56:47.152988+00:00,1641002400.0,CA-QC,27.75,0.2,27.62,,45.7,28718.0,,,215.07,3704.56,25228.51,hydroquebec.com,0.05,99.48,0.0,100.0,0.0,0.0,549.5,0.0,709.5,0.0,27459.0,,0.0,0.0,117.93,0.0,479.49,0.0,627.88,0.0,23989.52,13.7,0.0,0.0,0.0,0.0,,,-992.0,27.76,215.07,45.7,-1747.56,27.76,-965.0,27.76,0.46,1.96,0.0,263.02,260.85,0.12,,,,,,,,,,,993.5666666666667,996.8210648148148
2022-01-01 03:00:00+00:00,2022-02-04T16:49:58.101622+00:00,2023-01-09T20:56:51.251995+00:00,1641006000.0,CA-QC,27.81,0.17,27.73,,39.33,28007.0,,,213.91,3705.98,24514.93,hydroquebec.com,0.05,99.46,0.0,100.0,0.0,0.0,550.5,0.0,697.5,0.0,26759.0,,0.0,0.0,121.22,0.0,478.56,0.0,617.4,0.0,23286.5,11.26,0.0,0.0,0.0,0.0,,,-992.0,27.81,213.91,39.33,-1743.23,27.81,-970.75,27.81,0.51,1.97,0.0,263.18,260.98,0.18,,,,,,,,,,,994.5583333333334,996.7699652777778
2022-01-01 04:00:00+00:00,2022-02-04T16:49:58.102721+00:00,2023-01-09T21:16:33.174476+00:00,1641009600.0,CA-QC,27.83,0.06,27.88,,20.44,27018.5,,,208.4,3497.41,23729.49,hydroquebec.com,0.02,99.46,0.0,100.0,0.0,0.0,551.0,0.0,658.5,0.0,25809.0,,0.0,0.0,124.59,0.0,480.59,0.0,583.4,0.0,22537.07,3.84,0.0,0.0,0.0,0.0,,,-848.08,27.83,208.4,20.44,-1739.66,27.83,-909.67,27.83,0.52,1.88,0.0,263.1,260.9,0.24,,,,,,,,,,,992.3166666666667,996.5806423611111
2022-01-01 05:00:00+00:00,2022-02-04T16:49:58.101622+00:00,2023-01-09T20:56:47.152988+00:00,1641013200.0,CA-QC,27.97,0.04,28.04,,17.91,25950.0,,,194.25,3046.5,23097.75,hydroquebec.com,0.01,99.47,0.0,100.0,0.0,0.0,548.5,0.0,620.0,0.0,24781.5,,0.0,0.0,118.7,0.0,484.81,0.0,554.86,0.0,21936.62,2.75,0.0,0.0,0.0,0.0,,,-711.33,27.96,194.25,17.91,-1376.42,27.97,-958.75,27.97,0.53,1.95,0.0,263.26,261.0,0.3,,,,,,,,,,,991.8583333333332,997.0050347222221
2022-01-01 06:00:00+00:00,2022-02-04T16:49:58.102721+00:00,2023-01-09T21:10:30.813823+00:00,1641016800.0,CA-QC,28.05,0.03,28.15,,15.31,25221.5,,,196.37,2898.95,22518.91,hydroquebec.com,0.01,99.45,0.0,100.0,0.0,0.0,545.0,0.0,592.0,0.0,24084.5,,0.0,0.0,121.7,0.0,482.9,0.0,529.8,0.0,21382.61,1.89,0.0,0.0,0.0,0.0,,,-623.0,28.05,196.37,15.31,-1312.12,28.05,-963.83,28.05,0.48,1.97,0.0,263.27,261.0,0.36,,,,,,,,,,,991.4416666666667,997.6146412037037
2022-01-01 07:00:00+00:00,2022-02-04T16:55:11.373028+00:00,2023-01-09T20:56:47.152988+00:00,1641020400.0,CA-QC,28.24,0.04,28.33,,16.63,24685.5,,,199.01,2466.93,22417.58,hydroquebec.com,0.01,99.43,0.0,100.0,0.0,0.0,555.0,0.0,572.5,0.0,23558.0,,0.0,0.0,124.69,0.0,499.96,0.0,519.32,0.0,21271.2,2.4,0.0,0.0,0.0,0.0,,,-623.0,28.24,199.01,16.63,-879.93,28.24,-964.0,28.24,0.45,1.99,0.0,263.31,261.02,0.06,,,,,,,,,,,995.775,998.1432002314816
2022-01-01 08:00:00+00:00,2022-02-04T16:49:58.102721+00:00,2023-01-09T21:10:30.813823+00:00,1641024000.0,CA-QC,28.37,0.03,28.47,,15.75,24368.5,,,179.77,2447.4,22100.87,hydroquebec.com,0.01,99.46,0.0,100.0,0.0,0.0,565.5,0.0,590.0,0.0,23213.0,,0.0,0.0,116.46,0.0,509.12,0.0,534.74,0.0,20938.51,2.03,0.0,0.0,0.0,0.0,,,-623.0,28.37,179.77,15.75,-869.06,28.37,-955.33,28.37,0.37,2.06,0.0,263.33,261.03,0.13,,,,,,,,,,,1003.5500000000001,998.8830150462964
2022-01-01 09:00:00+00:00,2022-02-04T16:49:58.778849+00:00,2023-01-09T20:56:51.251995+00:00,1641027600.0,CA-QC,28.31,0.02,28.4,,13.63,24467.5,,,164.2,2428.54,22203.16,hydroquebec.com,0.01,99.51,0.0,100.0,0.0,0.0,564.5,0.0,654.5,0.0,23248.5,,0.0,0.0,108.57,0.0,508.85,0.0,593.58,0.0,20990.88,1.27,0.0,0.0,0.0,0.0,,,-623.0,28.31,164.2,13.63,-868.79,28.31,-936.75,28.31,0.32,2.1,0.0,263.25,260.97,0.21,,,,,,,,,,,951.4416666666667,997.4647858796296
